owner	test_name	row_index	row_id	render_count	owner_output_frames_bound
S01	direct_renewal_dream_structural_request_preallocation	0	empty-success	0	65536
S01	direct_renewal_dream_structural_request_preallocation	1	valid-mono-L4096-4x	1	65536
S01	direct_renewal_dream_structural_request_preallocation	2	valid-stereo-L4096-16x	1	65536
S01	direct_renewal_dream_structural_request_preallocation	3	channels-0	0	65536
S01	direct_renewal_dream_structural_request_preallocation	4	channels-3	0	65536
S01	direct_renewal_dream_structural_request_preallocation	5	partial-stereo-frame	0	65536
S01	direct_renewal_dream_structural_request_preallocation	6	rate-7999	0	65536
S01	direct_renewal_dream_structural_request_preallocation	7	rate-192001	0	65536
S01	direct_renewal_dream_structural_request_preallocation	8	nonfinite-nan-infinity	0	65536
S01	direct_renewal_dream_structural_request_preallocation	9	space-nan	0	65536
S01	direct_renewal_dream_structural_request_preallocation	10	space-negative-epsilon	0	65536
S01	direct_renewal_dream_structural_request_preallocation	11	space-next-up-one	0	65536
S01	direct_renewal_dream_structural_request_preallocation	12	empty-nonzero-target	0	65536
S01	direct_renewal_dream_structural_request_preallocation	13	nonempty-zero-target	0	65536
S01	direct_renewal_dream_structural_request_preallocation	14	unsupported-3x	0	65536
S01	direct_renewal_dream_structural_request_preallocation	15	dimension-L-2pow53	0	65536
S02	direct_renewal_dream_structural_transform_map	0	geometry-F8000	0	0
S02	direct_renewal_dream_structural_transform_map	1	geometry-F11025	0	0
S02	direct_renewal_dream_structural_transform_map	2	geometry-F44100	0	0
S02	direct_renewal_dream_structural_transform_map	3	geometry-F48000	0	0
S02	direct_renewal_dream_structural_transform_map	4	geometry-F96000	0	0
S02	direct_renewal_dream_structural_transform_map	5	geometry-F192000	0	0
S02	direct_renewal_dream_structural_transform_map	6	round-half-up-below-half	0	0
S02	direct_renewal_dream_structural_transform_map	7	round-half-up-exact-half	0	0
S02	direct_renewal_dream_structural_transform_map	8	nearest-power-tie-larger	0	0
S02	direct_renewal_dream_structural_transform_map	9	block-count-4x	0	0
S02	direct_renewal_dream_structural_transform_map	10	block-count-8x	0	0
S02	direct_renewal_dream_structural_transform_map	11	block-count-16x	0	0
S02	direct_renewal_dream_structural_transform_map	12	map-4x-j0	0	0
S02	direct_renewal_dream_structural_transform_map	13	map-4x-j1	0	0
S02	direct_renewal_dream_structural_transform_map	14	map-4x-jfloor-B2	0	0
S02	direct_renewal_dream_structural_transform_map	15	map-4x-jB-1	0	0
S02	direct_renewal_dream_structural_transform_map	16	map-4x-jB	0	0
S02	direct_renewal_dream_structural_transform_map	17	map-8x-j0	0	0
S02	direct_renewal_dream_structural_transform_map	18	map-8x-j1	0	0
S02	direct_renewal_dream_structural_transform_map	19	map-8x-jfloor-B2	0	0
S02	direct_renewal_dream_structural_transform_map	20	map-8x-jB-1	0	0
S02	direct_renewal_dream_structural_transform_map	21	map-8x-jB	0	0
S02	direct_renewal_dream_structural_transform_map	22	map-16x-j0	0	0
S02	direct_renewal_dream_structural_transform_map	23	map-16x-j1	0	0
S02	direct_renewal_dream_structural_transform_map	24	map-16x-jfloor-B2	0	0
S02	direct_renewal_dream_structural_transform_map	25	map-16x-jB-1	0	0
S02	direct_renewal_dream_structural_transform_map	26	map-16x-jB	0	0
S02	direct_renewal_dream_structural_transform_map	27	monotonic-4x	0	0
S02	direct_renewal_dream_structural_transform_map	28	monotonic-8x	0	0
S02	direct_renewal_dream_structural_transform_map	29	monotonic-16x	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	0	hann-n0	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	1	hann-n1	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	2	hann-nN4	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	3	hann-nN2	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	4	hann-nN-1	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	5	gain-F8000	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	6	gain-F48000	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	7	gain-F192000	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	8	cubic-u0	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	9	cubic-u0.25	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	10	cubic-u0.5	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	11	cubic-u0.75	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	12	cubic-u-next-down-1	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	13	integer-node-tap-minus1	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	14	integer-node-tap0	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	15	integer-node-tap1	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	16	integer-node-tap2	0	0
S03	direct_renewal_dream_structural_window_interpolation_gain	17	exterior-zero	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	0	mix64-0	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	1	mix64-1	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	2	mix64-u64-max	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	3	tag-FRAME	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	4	tag-BIN	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	5	tag-BASE	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	6	tag-SPACE	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	7	tag-TEST	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	8	address-BASE	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	9	address-SPACE	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	10	high53-phase-BASE	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	11	high53-phase-SPACE	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	12	mono-zero-bin	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	13	mono-active-bin	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	14	mono-DC	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	15	mono-Nyquist	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	16	hermitian-positive	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	17	hermitian-negative	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	18	active-seed-change	0	0
S04	direct_renewal_dream_structural_counter_mono_spectrum	19	frame-bin-address-separation	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	0	frequency-weight-0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	1	frequency-weight-250	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	2	frequency-weight-875	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	3	frequency-weight-1500	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	4	frequency-weight-nyquist	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	5	decorrelation-h0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	6	decorrelation-h0.5	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	7	decorrelation-h1	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	8	duplicate-space-0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	9	duplicate-space-1	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	10	common-negated-space-0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	11	common-negated-space-1	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	12	anti-phase-space-0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	13	anti-phase-space-1	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	14	swapped-space-0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	15	swapped-space-1	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	16	active-bin-magnitude-space-0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	17	active-bin-magnitude-space-0.5	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	18	active-bin-magnitude-space-1	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	19	duplicate-relation-space0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	20	negation-relation-space0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	21	swap-relation-space0	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	22	side-energy-0-to-0.5	0	0
S05	direct_renewal_dream_structural_linked_stereo_space	23	side-energy-0.5-to-1	0	0
